"COG","SOG","Timestamp","Longitude","Latitude","MMSI","RouteName","Type"
"316.4","0.0","Mon Apr 30 12:16:21 CST 2018","121.89667333333334","38.99920333333333","413705350","POs0ENs0","机动船在航"
"332.3","0.0","Mon Apr 30 12:17:12 CST 2018","121.89667166666666","38.999205","413705350","POs0ENs0","机动船在航"
"98.8","18.4","Mon Apr 30 08:00:02 CST 2018","120.58590666666667","38.57890833333333","212352000","POs0ENs0","机动船在航"
"98.8","18.4","Mon Apr 30 08:00:03 CST 2018","120.58590666666667","38.57890833333333","212352000","POs0ENs0","机动船在航"
"145.7","12.6","Mon Apr 30 08:03:27 CST 2018","123.22268833333334","37.79049","255806132","POs0ENs0","机动船在航"
"145.9","12.6","Mon Apr 30 08:09:46 CST 2018","123.23884","37.77243","255806132","POs0ENs0","机动船在航"
"17.7","1.2","Mon Apr 30 08:36:09 CST 2018","121.91922","40.328363333333336","412209130","POs0ENs0","在航"
"58.2","1.8","Mon Apr 30 09:08:33 CST 2018","121.92028333333332","40.329096666666665","412209130","POs0ENs0","机动船在航"
"239.9","2.8","Mon Apr 30 09:20:13 CST 2018","121.58767833333332","36.531115","200026928","POs0ENs0","机动船在航"
"256.1","2.7","Mon Apr 30 09:25:01 CST 2018","121.5833","36.530546666666666","200026928","POs0ENs0","机动船在航"
"143.2","2.0","Mon Apr 30 12:35:57 CST 2018","119.82975166666668","39.789815","414085000","POs0ENs0","在航"
"143.2","2.0","Mon Apr 30 12:36:00 CST 2018","119.82975166666668","39.789815","414085000","POs0ENs0","在航"
"354.0","10.6","Mon Apr 30 08:27:50 CST 2018","123.64171666666668","35.001583333333336","538003953","POs0ENs0","机动船在航"
"354.0","10.6","Mon Apr 30 08:28:00 CST 2018","123.64166666666668","35.00203333333334","538003953","POs0ENs0","机动船在航"
"347.7","0.0","Mon Apr 30 13:56:22 CST 2018","119.42104166666668","35.113748333333334","636018314","POs0ENs0","机动船在航"
"347.7","0.0","Mon Apr 30 13:56:23 CST 2018","119.42104166666668","35.113748333333334","636018314","POs0ENs0","机动船在航"
"242.5","3.7","Mon Apr 30 08:01:10 CST 2018","118.36196666666666","38.406063333333336","412763040","POs0ENs0","机动船在航"
"237.8","3.8","Mon Apr 30 08:10:00 CST 2018","118.35129","38.40175166666667","412763040","POs0ENs0","机动船在航"
"5.1","10.7","Mon Apr 30 08:00:01 CST 2018","122.89063333333333","36.17143833333333","413700280","POs0ENs0","机动船在航"
"6.2","10.6","Mon Apr 30 08:01:13 CST 2018","122.89083833333332","36.17303166666667","413700280","POs0ENs0","机动船在航"
"103.2","0.0","Mon Apr 30 08:12:04 CST 2018","120.73794333333332","37.821893333333335","414173075","POs0ENs0","机动船在航"
"110.6","0.0","Mon Apr 30 08:31:55 CST 2018","120.731575","37.82664666666667","414173075","POs0ENs0","机动船在航"
"23.0","0.1","Mon Apr 30 08:00:45 CST 2018","118.45446666666666","38.95098333333333","413271440","POs0ENs0","机动船在航"
"21.2","0.1","Mon Apr 30 08:05:14 CST 2018","118.45443333333333","38.95098333333333","413271440","POs0ENs0","机动船在航"
"75.1","5.9","Mon Apr 30 11:15:08 CST 2018","124.7715","38.6049","445254000","POs0ENs0","机动船在航"
"91.4","5.5","Mon Apr 30 11:28:38 CST 2018","124.79777","38.60741166666666","445254000","POs0ENs0","机动船在航"
"123.1","0.0","Mon Apr 30 08:00:00 CST 2018","122.09171","40.28358833333333","412001430","POs0ENs0","机动船在航"
"123.1","0.0","Mon Apr 30 08:00:01 CST 2018","122.09171","40.28358833333333","412001430","POs0ENs0","机动船在航"
"0.9","0.0","Mon Apr 30 14:05:16 CST 2018","122.26692666666666","40.707135","413406940","POs0ENs0","机动船在航"
"263.0","0.5","Mon Apr 30 14:10:06 CST 2018","122.26663","40.70702666666666","413406940","POs0ENs0","机动船在航"
"193.6","2.0","Mon Apr 30 08:55:13 CST 2018","119.537885","35.36731833333333","372572000","POs0ENs0","在航"
"193.6","2.0","Mon Apr 30 08:55:17 CST 2018","119.537885","35.36731833333333","372572000","POs0ENs0","在航"
"166.0","0.2","Mon Apr 30 08:00:05 CST 2018","119.53669333333332","35.37779333333334","412020230","POs0ENs0","机动船在航"
"152.5","0.2","Mon Apr 30 08:00:23 CST 2018","119.53669333333332","35.3778","412020230","POs0ENs0","机动船在航"
"325.0","9.8","Mon Apr 30 08:17:20 CST 2018","122.11098333333334","38.3378","412330070","POs0ENs0","机动船在航"
"325.0","9.7","Mon Apr 30 08:24:54 CST 2018","122.09526666666666","38.35433333333334","412330070","POs0ENs0","机动船在航"
"297.4","0.0","Mon Apr 30 08:00:08 CST 2018","119.55511333333334","35.403151666666666","412332350","POs0ENs0","机动船在航"
"297.4","0.0","Mon Apr 30 08:07:29 CST 2018","119.555125","35.40316","412332350","POs0ENs0","机动船在航"
"46.4","9.3","Mon Apr 30 08:00:00 CST 2018","120.61840333333332","39.80069666666667","413021110","POs0ENs0","机动船在航"
"46.2","9.3","Mon Apr 30 08:00:10 CST 2018","120.618775","39.80095833333333","413021110","POs0ENs0","机动船在航"
"178.2","2.4","Mon Apr 30 08:21:45 CST 2018","120.70733","38.36627","412215002","POs0ENs0","机动船在航"
"129.5","2.7","Mon Apr 30 08:26:23 CST 2018","120.708785","38.36335666666667","412215002","POs0ENs0","机动船在航"
"359.7","3.2","Mon Apr 30 12:06:21 CST 2018","120.31249666666666","37.64288833333333","412301860","POs0ENs0","在航"
"359.7","3.2","Mon Apr 30 12:06:22 CST 2018","120.31249666666666","37.64288833333333","412301860","POs0ENs0","在航"
"56.0","0.9","Mon Apr 30 09:27:07 CST 2018","121.76983333333334","40.30383333333333","413166000","POs0ENs0","机动船在航"
"57.0","0.6","Mon Apr 30 09:27:17 CST 2018","121.76983333333334","40.30383333333333","413166000","POs0ENs0","机动船在航"
"302.9","10.8","Mon Apr 30 09:59:35 CST 2018","119.31846666666668","38.608383333333336","413750000","POs0ENs0","机动船在航"
"301.5","10.9","Mon Apr 30 10:01:45 CST 2018","119.31136666666669","38.61193333333333","413750000","POs0ENs0","机动船在航"
"164.0","0.0","Mon Apr 30 08:30:58 CST 2018","119.111545","39.185188333333336","413851000","POs0ENs0","机动船在航"
"134.3","0.7","Mon Apr 30 08:40:08 CST 2018","119.11105166666668","39.18598833333333","413851000","POs0ENs0","机动船在航"
"128.4","9.0","Mon Apr 30 15:43:43 CST 2018","122.15257333333334","37.79594166666666","414511288","POs0ENs0","机动船在航"
"128.4","9.0","Mon Apr 30 15:43:45 CST 2018","122.15257333333334","37.79594166666666","414511288","POs0ENs0","机动船在航"
"208.1","11.5","Mon Apr 30 08:00:00 CST 2018","121.32598666666668","40.51316833333333","413000017","POs0ENs0","机动船在航"
"208.5","10.2","Mon Apr 30 08:01:01 CST 2018","121.324195","40.510693333333336","413000017","POs0ENs0","机动船在航"
"25.2","1.5","Mon Apr 30 08:00:11 CST 2018","117.72204666666669","38.98623333333333","413301280","POs0ENs0","机动船在航"
"25.4","1.2","Mon Apr 30 08:00:17 CST 2018","117.72207166666666","38.986275","413301280","POs0ENs0","机动船在航"
"50.8","10.1","Mon Apr 30 10:48:43 CST 2018","120.482465","35.04810833333333","413357750","POs0ENs0","机动船在航"
"48.7","10.0","Mon Apr 30 12:15:03 CST 2018","120.71116333333332","35.199421666666666","413357750","POs0ENs0","机动船在航"
"343.3","0.0","Mon Apr 30 08:05:39 CST 2018","120.10594666666668","40.08082","413362470","POs0ENs0","机动船在航"
"288.4","0.0","Mon Apr 30 08:05:41 CST 2018","120.10594666666668","40.08082","413362470","POs0ENs0","机动船在航"
"132.4","14.6","Mon Apr 30 08:00:08 CST 2018","121.38493166666666","35.32185","564337000","POs0ENs0","机动船在航"
"132.4","14.6","Mon Apr 30 08:01:53 CST 2018","121.39147666666666","35.316955","564337000","POs0ENs0","机动船在航"
"105.8","0.0","Mon Apr 30 10:55:00 CST 2018","118.56633333333332","39.103883333333336","413374480","POs0ENs0","机动船在航"
"249.7","0.6","Mon Apr 30 11:00:00 CST 2018","118.56606666666669","39.10365","413374480","POs0ENs0","机动船在航"
"136.7","9.0","Mon Apr 30 08:40:24 CST 2018","120.093285","39.375755","413705490","POs0ENs0","机动船在航"
"140.6","9.2","Mon Apr 30 09:14:05 CST 2018","120.168175","39.31373666666666","413705490","POs0ENs0","机动船在航"
"166.7","13.2","Mon Apr 30 08:00:01 CST 2018","121.97331166666666","40.68996833333333","412208580","POs0ENs0","帆船在航"
"167.1","13.1","Mon Apr 30 08:00:08 CST 2018","121.97345833333334","40.689418333333336","412208580","POs0ENs0","帆船在航"
"20.0","0.0","Mon Apr 30 08:00:08 CST 2018","121.4417","40.674933333333335","412301050","POs0ENs0","机动船在航"
"20.0","0.0","Mon Apr 30 08:00:18 CST 2018","121.4417","40.674933333333335","412301050","POs0ENs0","机动船在航"
"228.1","0.0","Mon Apr 30 08:00:03 CST 2018","120.20025833333334","37.655305","412374030","POs0ENs0","机动船在航"
"228.1","0.0","Mon Apr 30 08:00:04 CST 2018","120.20025833333334","37.655305","412374030","POs0ENs0","机动船在航"
"67.0","0.0","Mon Apr 30 08:00:00 CST 2018","118.235205","38.92015","412439330","POs0ENs0","机动船在航"
"306.7","0.1","Mon Apr 30 08:05:06 CST 2018","118.23511666666668","38.920125","412439330","POs0ENs0","机动船在航"
"73.3","6.9","Mon Apr 30 08:00:03 CST 2018","119.66035666666669","39.81641","413304020","POs0ENs0","机动船在航"
"73.3","6.9","Mon Apr 30 08:00:05 CST 2018","119.66035666666669","39.81641","413304020","POs0ENs0","机动船在航"
"275.7","0.0","Mon Apr 30 10:31:22 CST 2018","118.40354833333332","38.99098","413352060","POs0ENs0","机动船在航"
"275.7","0.0","Mon Apr 30 10:35:04 CST 2018","118.40355333333332","38.99097833333333","413352060","POs0ENs0","机动船在航"
"360.0","0.0","Mon Apr 30 08:04:44 CST 2018","119.42483333333334","35.16204166666667","413358890","POs0ENs0","机动船在航"
"360.0","0.0","Mon Apr 30 08:04:48 CST 2018","119.42483333333334","35.16204166666667","413358890","POs0ENs0","机动船在航"
"248.7","0.0","Mon Apr 30 09:11:29 CST 2018","119.69668","39.931695","413702140","POs0ENs0","机动船在航"
"248.7","0.0","Mon Apr 30 09:11:31 CST 2018","119.69668","39.931695","413702140","POs0ENs0","机动船在航"
"101.7","4.7","Mon Apr 30 08:00:19 CST 2018","119.46192","35.09575666666667","413357520","POs0ENs0","机动船在航"
"88.4","4.2","Mon Apr 30 08:05:39 CST 2018","119.46988","35.09482","413357520","POs0ENs0","机动船在航"
"208.2","0.8","Mon Apr 30 13:25:37 CST 2018","120.03777666666667","35.103645","566721000","POs0ENs0","机动船在航"
"192.1","1.9","Mon Apr 30 13:30:37 CST 2018","120.03765333333334","35.10186","566721000","POs0ENs0","机动船在航"
"109.4","3.5","Mon Apr 30 08:00:09 CST 2018","119.66762666666666","39.93542166666667","412011360","POs0ENs0","机动船在航"
"109.4","3.5","Mon Apr 30 08:00:11 CST 2018","119.66762666666666","39.93542166666667","412011360","POs0ENs0","机动船在航"
"212.1","0.0","Mon Apr 30 08:50:06 CST 2018","118.959885","38.09158","413200690","POs0ENs0","机动船在航"
"229.3","0.0","Mon Apr 30 08:55:06 CST 2018","118.95995166666668","38.09162666666667","413200690","POs0ENs0","机动船在航"
"344.1","0.8","Mon Apr 30 09:35:15 CST 2018","119.58273","39.903686666666665","413698570","POs0ENs0","机动船在航"
"344.1","0.8","Mon Apr 30 09:35:16 CST 2018","119.58273","39.903686666666665","413698570","POs0ENs0","机动船在航"
"132.0","9.9","Mon Apr 30 08:00:16 CST 2018","117.80333333333331","38.972","563680000","POs0ENs0","机动船在航"
"104.0","12.7","Mon Apr 30 08:07:17 CST 2018","117.822","38.965833333333336","563680000","POs0ENs0","机动船在航"
"241.7","2.9","Mon Apr 30 09:40:40 CST 2018","119.38941666666666","35.07799333333333","412328760","POs0ENs0","在航"
"81.0","9.7","Mon Apr 30 09:45:19 CST 2018","119.38942166666666","35.07177166666666","412328760","POs0ENs0","在航"
"23.4","2.5","Mon Apr 30 12:40:53 CST 2018","117.87282","38.35094","413272390","POs0ENs0","在航"
"30.9","10.2","Mon Apr 30 12:43:52 CST 2018","117.87250166666666","38.35653","413272390","POs0ENs0","在航"
"360.0","102.3","Mon Apr 30 08:01:26 CST 2018","119.81714","39.855086666666665","413439790","POs0ENs0","在航"
"360.0","102.3","Mon Apr 30 08:02:22 CST 2018","119.817305","39.855093333333336","413439790","POs0ENs0","在航"
"242.5","0.1","Mon Apr 30 08:02:17 CST 2018","120.01584333333334","39.927","900035325","POs0ENs0","失控"
"300.7","0.1","Mon Apr 30 08:06:55 CST 2018","120.015745","39.927038333333336","900035325","POs0ENs0","失控"
"186.3","0.7","Mon Apr 30 15:45:30 CST 2018","119.86206666666666","35.46861666666667","413359060","POs0ENs0","机动船在航"
"1.6","2.8","Mon Apr 30 15:50:10 CST 2018","119.86366666666666","35.4687","413359060","POs0ENs0","机动船在航"
"206.0","0.0","Mon Apr 30 14:29:20 CST 2018","117.8787","38.3287","414059000","POs0ENs0","机动船在航"
"206.0","0.0","Mon Apr 30 14:29:31 CST 2018","117.8787","38.328716666666665","414059000","POs0ENs0","机动船在航"
"269.0","1.1","Mon Apr 30 08:07:10 CST 2018","124.9266","36.6385","636013812","POs0ENs0","机动船在航"
"268.0","1.1","Mon Apr 30 08:10:21 CST 2018","124.9253","36.63845","636013812","POs0ENs0","机动船在航"
"0.0","0.0","Mon Apr 30 10:22:45 CST 2018","124.144975","39.817191666666666","413202770","POs0ENs0","机动船在航"
"0.0","0.0","Mon Apr 30 13:22:54 CST 2018","124.144975","39.817191666666666","413202770","POs0ENs0","机动船在航"
"8.1","0.0","Mon Apr 30 12:05:04 CST 2018","121.37990666666668","37.58343666666666","413556760","POs0ENs0","机动船在航"
"8.1","0.0","Mon Apr 30 12:05:13 CST 2018","121.37990666666668","37.58343666666666","413556760","POs0ENs0","机动船在航"
"138.5","0.7","Mon Apr 30 13:48:26 CST 2018","119.73118666666667","35.316536666666664","414373000","POs0ENs0","机动船在航"
"139.0","0.6","Mon Apr 30 13:49:05 CST 2018","119.73126666666668","35.31645666666667","414373000","POs0ENs0","机动船在航"
"303.3","0.1","Mon Apr 30 08:00:46 CST 2018","117.78804666666667","38.97364666666667","413001810","POs0ENs0","机动船在航"
"303.3","0.1","Mon Apr 30 08:04:54 CST 2018","117.78804666666667","38.97363833333333","413001810","POs0ENs0","机动船在航"
"306.6","0.0","Mon Apr 30 08:00:09 CST 2018","117.757125","38.97895833333333","413302410","POs0ENs0","机动船在航"
